Acetobacter_pasteurianus_386B  NC_021991.1
Mycobacterium_intracellulare_MOTT-02  NC_016947.1
Mycobacterium_intracellulare_MOTT-64  NC_016948.1
Mycobacterium_rhodesiae_NBB3  NC_016604.1
Mycobacterium_smegmatis_str._MC2_155  NC_018289.1
Mycobacterium_sp._KMS  NC_008705.1
Mycobacterium_sp._MCS  NC_008146.1
Mycobacterium_tuberculosis_7199-99  NC_020089.1
Mycobacterium_tuberculosis_F11  NC_009565.1
Mycobacterium_tuberculosis_H37Rv  NC_018143.2
Mycobacterium_tuberculosis_HKBS1  NZ_CP002871.1
Mycobacterium_tuberculosis_K  NZ_CP007803.1
Mycoplasma_hyopneumoniae_7422  NC_021831.1
Myxococcus_stipitatus_DSM_14675  NC_020126.1
Myxococcus_xanthus_DK_1622  NC_008095.1
Neisseria_meningitidis_alpha14  NC_013016.1
Neorhizobium_galegae_bv._officinalis_bv  NZ_HG938355.1
Neorhizobium_galegae_bv._orientalis_str._HAMB  NZ_HG938353.1
Neorickettsia_helminthoeca_str._Oregon  NZ_CP007481.1
Neorickettsia_sennetsu_str._Miyayama  NC_007798.1
Niastella_koreensis_GR20-10  NC_016609.1
Nitrobacter_winogradskyi_Nb-255  NC_007406.1
Nitrosomonas_europaea_ATCC_19718  NC_004757.1
Nitrosomonas_sp._AL212  NC_015222.1
Nitrosospira_multiformis_ATCC_25196  NC_007614.1
Nocardia_brasiliensis_ATCC_700358  NC_018681.1
Nocardia_cyriacigeorgica_GUH-2  NC_016887.1
Nocardia_farcinica_IFM_10152  NC_006361.1
Nocardia_nova_SH22a  NZ_CP006850.1
Nocardioides_sp._JS614  NC_008699.1
Nocardiopsis_dassonvillei_subsp._dassonville  NC_014210.1
Nostoc_punctiforme_PCC_73102  NC_010628.1
Nostoc_sp._PCC_7107  NC_019676.1
Nostoc_sp._PCC_7120  NC_003272.1
Novosphingobium_sp._PP1Y  NC_015580.1
Oceanobacillus_iheyensis_HTE831  NC_004193.1
Ochrobactrum_anthropi_ATCC_49188  NC_009667.1
Oligotropha_carboxidovorans_OM5  NC_015684.1
Opitutus_terrae_PB90-1  NC_010571.1
Oscillatoria_acuminata_PCC_6304  NC_019693.1
Oscillatoria_nigro-viridis_PCC_7112  NC_019729.1
Paenibacillus_mucilaginosus_3016  NC_016935.1
Paenibacillus_mucilaginosus_K02  NC_017672.3
Paenibacillus_mucilaginosus_KNP414  NC_015690.1
Paenibacillus_polymyxa_CR1  NC_023037.2
Paenibacillus_polymyxa_E681  NC_014483.2
Paenibacillus_polymyxa_M1  NC_017542.1
Paenibacillus_polymyxa_SC2  NC_014622.2
Paenibacillus_polymyxa_SQR-21  NZ_CP006872.1
Paenibacillus_sabinae_T27  NZ_CP004078.1
Paenibacillus_terrae_HPL-003  NC_016641.1
Paludibacter_propionicigenes_WB4  NC_014734.1
Pandoraea_pnomenusa  NZ_CP007506.2
Pandoraea_pnomenusa_3kgm  NC_022904.2
Pantoea_ananatis_AJ13355  NC_017531.1
Pantoea_ananatis_LMG_5342  NC_016816.1
Paracoccus_aminophilus_JCM_7686  NC_022041.1
Pararhodospirillum_photometricum_DSM_122  NC_017059.1
Pectobacterium_atrosepticum_SCRI1043  NC_004547.2
Pectobacterium_carotovorum_subsp._carotovoru  NC_018525.1
Pectobacterium_sp._SCC3193  NC_017845.1
Pectobacterium_wasabiae_WPP163  NC_013421.1
Pedobacter_heparinus_DSM_2366  NC_013061.1
Pelobacter_carbinolicus_DSM_2380  NC_007498.2
Pelobacter_propionicus_DSM_2379  NC_008609.1
Pelosinus_sp._UFO1  NZ_CP008852.1
Picrophilus_torridus_DSM_9790  NC_005877.1
Pleurocapsa_sp._PCC_7327  NC_019689.1
Polaromonas_naphthalenivorans_CJ2  NC_008781.1
Polaromonas_sp._JS666  NC_007948.1
Propionibacterium_freudenreichii_subsp  NC_014215.1
Proteus_mirabilis_BB2000  NC_022000.1
Proteus_mirabilis_HI4320  NC_010554.1
Providencia_stuartii  NZ_CP008920.1
Pseudanabaena_sp._PCC_7367  NC_019701.1
Pseudogulbenkiania_sp._NH8B  NC_016002.1
Pseudomonas_aeruginosa_B136-33  NC_020912.1
Pseudomonas_aeruginosa_DK2  NC_018080.1
Pseudomonas_aeruginosa_LESB58  NC_011770.1
Pseudomonas_aeruginosa_LESB65  NZ_CP006983.1
Pseudomonas_aeruginosa_M18  NC_017548.1
Pseudomonas_aeruginosa_MTB-1  NC_023019.1
Pseudomonas_aeruginosa_NCGM2.S1  NC_017549.1
Pseudomonas_aeruginosa_PAO1  NC_002516.2
Pseudomonas_aeruginosa_RP73  NC_021577.1
Pseudomonas_aeruginosa_SCV20265  NC_023149.1
Pseudomonas_brassicacearum  NZ_CP007410.1
Pseudomonas_brassicacearum_subsp  NC_015379.1
Pseudomonas_chlororaphis  NZ_CP008696.1
Pseudomonas_cichorii_JBC1  NZ_CP007039.1
Pseudomonas_entomophila_L48  NC_008027.1
Pseudomonas_fluorescens  NZ_CP008896.1
Pseudomonas_fluorescens_F113  NC_016830.1
Pseudomonas_fluorescens_Pf0-1  NC_007492.2
Pseudomonas_fluorescens_SBW25  NC_012660.1
Pseudomonas_mendocina_ymp  NC_009439.1
Pseudomonas_monteilii_SB3078  NC_023075.1
Pseudomonas_monteilii_SB3101  NC_023076.1
Pseudomonas_moraviensis_R28-S  NZ_CM002330.1
Pseudomonas_poae_RE*1-1-14  NC_020209.1
Pseudomonas_protegens_CHA0  NC_021237.1
Pseudomonas_protegens_Pf-5  NC_004129.6
Pseudomonas_putida  NZ_CP007620.1
Pseudomonas_putida_BIRD-1  NC_017530.1
Pseudomonas_putida_F1  NC_009512.1
Pseudomonas_putida_GB-1  NC_010322.1
Pseudomonas_putida_H8234  NC_021491.1
Pseudomonas_putida_S16  NC_015733.1
Pseudomonas_putida_W619  NC_010501.1
Pseudomonas_sp._TKP  NC_023064.1
Pseudomonas_sp._UW4  NC_019670.1
Pseudomonas_sp._VLB120  NC_022738.1
Pseudomonas_sp._WCS374  NZ_CP007638.1
Pseudomonas_stutzeri  NZ_CP007441.1
Pseudomonas_stutzeri_A1501  NC_009434.1
Pseudomonas_stutzeri_CCUG_29243  NC_018028.1
Pseudomonas_stutzeri_DSM_10701  NC_018177.1
Pseudomonas_stutzeri_DSM_4166  NC_017532.1
Pseudomonas_stutzeri_RCH2  NC_019936.1
Pseudomonas_syringae_pv._syringae_B64  NZ_CM001763.1
Pseudonocardia_dioxanivorans_CB1190  NC_015312.1
Pseudopedobacter_saltans_DSM_12145  NC_015177.1
Pseudothermotoga_hypogea_DSM_11164  NC_022795.1
Pseudothermotoga_thermarum_DSM_5069  NC_015707.1
Pseudoxanthomonas_suwonensis_11-1  NC_014924.1
Psychrobacter_cryohalolentis_K5  NC_007969.1
Psychrobacter_sp._PRwf-1  NC_009524.1
Pyrococcus_sp._NA2  NC_015474.1
Rahnella_aquatilis_HX2  NC_017047.1
Rahnella_sp._Y9602  NC_015061.1
Ralstonia_eutropha_H16  NC_008313.1
Ralstonia_pickettii_12D  NC_012856.1
Ralstonia_pickettii_12J  NC_010682.1
Ralstonia_pickettii_DTP0602  NC_022513.1
Ralstonia_solanacearum_CFBP2957  NC_014307.1
Ralstonia_solanacearum_CMR15  NC_017559.1
Ralstonia_solanacearum_GMI1000  NC_003295.1
Ralstonia_solanacearum_PSI07  NC_014311.1
Ralstonia_solanacearum_Po82  NC_017574.1
Ralstonia_solanacearum_Rs-09-161  NZ_CM002757.1
Ralstonia_solanacearum_Rs-10-244  NZ_CM002755.1
Ramlibacter_tataouinensis_TTB310  NC_015677.1
Raoultella_ornithinolytica_B6  NC_021066.1
Renibacterium_salmoninarum_ATCC_33209  NC_010168.1
Rhizobium_etli_CFN_42  NC_007761.1
Rhizobium_etli_CIAT_652  NC_010994.1
Rhizobium_etli_bv._mimosae_str._IE4771  NZ_CP006986.1
Rhizobium_etli_bv._mimosae_str._Mim1  NC_021905.1
Rhizobium_leguminosarum_bv._trifolii_CB782  NZ_CP007067.1
Rhizobium_leguminosarum_bv._trifolii_WSM1325  NC_012850.1
Rhizobium_leguminosarum_bv._trifolii_WSM1689  NZ_CP007045.1
Rhizobium_leguminosarum_bv._trifolii_WSM2304  NC_011369.1
Rhizobium_leguminosarum_bv._viciae_3841  NC_008380.1
Rhizobium_tropici_CIAT_899  NC_020059.1
Rhodobacter_capsulatus_SB_1003  NC_014034.1
Rhodobacter_sphaeroides_2.4.1  NC_007493.2
Rhodobacter_sphaeroides_ATCC_17025  NC_009428.1
Rhodobacter_sphaeroides_ATCC_17029  NC_009049.1
Rhodobacter_sphaeroides_KD131  NC_011963.1
Rhodococcus_aetherivorans  NZ_CM002177.1
Rhodococcus_equi_103S  NC_014659.1
Rhodococcus_erythropolis_CCM2595  NC_022115.1
Rhodococcus_jostii_RHA1  NC_008268.1
Rhodococcus_opacus_B4  NC_012522.1
Rhodococcus_opacus_PD630  NZ_CP003949.1
Rhodopseudomonas_palustris_BisA53  NC_008435.1
Rhodopseudomonas_palustris_BisB18  NC_007925.1
Rhodopseudomonas_palustris_BisB5  NC_007958.1
Rhodopseudomonas_palustris_CGA009  NC_005296.1
Rhodopseudomonas_palustris_DX-1  NC_014834.1
Rickettsia_prowazekii_str._Madrid_E  NC_000963.1
Riemerella_anatipestifer_RA-CH-1  NC_018609.1
Rivularia_sp._PCC_7116  NC_019678.1
Rubrobacter_radiotolerans  NZ_CP007514.1
Rubrobacter_xylanophilus_DSM_9941  NC_008148.1
Ruminiclostridium_thermocellum_ATCC_27405  NC_009012.1
Ruminococcus_albus_7  NC_014833.1
Ruminococcus_bicirculans  NZ_HF545616.1
Saccharomonospora_viridis_DSM_43017  NC_013159.1
Saccharopolyspora_erythraea_NRRL_2338  NC_009142.1
Saccharothrix_espanaensis_DSM_44229  NC_019673.1
Salinispora_arenicola_CNS-205  NC_009953.1
Salinispora_tropica_CNB-440  NC_009380.1
Salmonella_enterica_subsp._enterica_serova  NC_021902.1
Serratia_liquefaciens_ATCC_27592  NC_021741.1
Serratia_marcescens_WW4  NC_020211.1
Serratia_marcescens_subsp._marcescens_Db11  NZ_HG326223.1
Serratia_plymuthica_AS9  NC_015567.1
Serratia_plymuthica_S13  NC_021659.1
Serratia_proteamaculans_568  NC_009832.1
Shewanella_amazonensis_SB2B  NC_008700.1
Shewanella_oneidensis_MR-1  NC_004347.2
Shewanella_putrefaciens_CN-32  NC_009438.1
Shigella_boydii_Sb227  NC_007613.1
Singulisphaera_acidiphila_DSM_18658  NC_019892.1
Sinorhizobium_fredii_HH103  NC_016812.1
Sinorhizobium_fredii_USDA_257  NC_018000.1
Sinorhizobium_meliloti_AK83  NC_015590.1
Sinorhizobium_meliloti_BL225C  NC_017322.1
Sinorhizobium_meliloti_GR4  NC_019845.2
Sinorhizobium_meliloti_Rm41  NC_018700.1
Sinorhizobium_meliloti_SM11  NC_017325.1
Solibacillus_silvestris_StLB046  NC_018065.1
Solitalea_canadensis_DSM_3403  NC_017770.1
Sorangium_cellulosum_So0157-2  NC_021658.1
Sorangium_cellulosum_So_ce56  NC_010162.1
Sphingobium_chlorophenolicum_L-1  NC_015593.1
Sphingobium_japonicum_UT26S  NC_014006.1
Sphingobium_sp._SYK-6  NC_015976.1
Sphingomonas_wittichii_RW1  NC_009511.1
Spirochaeta_smaragdinae_DSM_11293  NC_014364.1
Stanieria_cyanosphaera_PCC_7437  NC_019748.1
Staphylococcus_aureus  NZ_CP007499.1
Staphylococcus_aureus_subsp._aureus_SA40  NC_022443.1
Staphylococcus_haemolyticus_JCSC1435  NC_007168.1
Staphylococcus_warneri_SG1  NC_020164.1
Staphylococcus_xylosus  NZ_CP007208.1
Stenotrophomonas_maltophilia_D457  NC_017671.1
Stenotrophomonas_maltophilia_JV3  NC_015947.1
Stenotrophomonas_maltophilia_K279a  NC_010943.1
Stenotrophomonas_maltophilia_R551-3  NC_011071.1
Stenotrophomonas_rhizophila  NZ_CP007597.1
Stigmatella_auranti  Streptococcus_infantarius_subsp._infantariu  NC_016826.1
Streptococcus_pyogenes  NZ_CP008926.1
Streptococcus_suis_ST3  NC_015433.1
Streptococcus_uberis_0140J  NC_012004.1
Streptomyces_albulus  NZ_CP007574.1
Streptomyces_albus_J1074  NC_020990.1
Streptomyces_avermitilis_MA-4680  NC_003155.4
Streptomyces_bingchenggensis_BCW-1  NC_016582.1
Streptomyces_cattleya_NRRL_8057  NC_016111.1
Streptomyces_collinus_Tu_365  NC_021985.1
Streptomyces_davawensis_JCM_4913  NC_020504.1
Streptomyces_fulvissimus_DSM_40593  NC_021177.1
Streptomyces_griseus_subsp._griseus_NBRC_13350  NC_010572.1
Streptomyces_hygroscopicus_subsp._jinggangensi  NC_020895.1
Streptomyces_pratensis_ATCC_33331  NC_016114.1
Streptomyces_scabiei_87.22  NC_013929.1
Streptomyces_sp._PAMC26508  NC_021055.1
Streptomyces_sp._SirexAA-E  NC_015953.1
Streptomyces_sp._Tu6071  NZ_CM001165.1
Streptomyces_venezuelae_ATCC_10712  NC_018750.1
Streptomyces_violaceusniger_Tu_4113  NC_015957.1
Streptosporangium_roseum_DSM_43021  NC_013595.1
Sulfolobus_islandicu  Sulfolobus_islandicu  Sulfolobus_islandicus_M.16.27  NC_012632.1
Sulfolobus_islandicus_M.16.4  NC_012726.1
Sulfolobus_islandicus_REY15A  NC_017276.1
Sulfurihydrogenibium_azorense_Az-Fu1  NC_012438.1
Sulfurihydrogenibium_sp._YO3AOP1  NC_010730.1
Sulfurospirillum_barnesii_SES-3  NC_018002.1
Sulfurospirillum_deleyianum_DSM_6946  NC_013512.1
Sulfurospirillum_multivorans_DSM_12446  NZ_CP007201.1
Symbiobacterium_thermophilum_IAM_14863  NC_006177.1
Synechococcus_sp._JA-3-3Ab  NC_007775.1
Synechococcus_sp._PCC_6312  NC_019680.1
Synechococcus_sp._PCC_7502  NC_019702.1
Terriglobus_roseus_DSM_18391  NC_018014.1
Terriglobus_saanensis_SP1PR4  NC_014963.1
Thauera_sp._MZ1T  NC_011662.2
Thermaerobacter_marianensis_DSM_12885  NC_014831.1
Thermoanaerobacter_italicus_Ab9  NC_013921.1
Thermoanaerobacter_pseudethanolicus_ATCC_33223  NC_010321.1
Thermoanaerobacter_sp._X513  NC_014538.1
Thermoanaerobacter_sp._X514  NC_010320.1
Thermobacillus_composti_KWC4  NC_019897.1
Thermobaculum_terrenum_ATCC_BAA-798  NC_013525.1
Thermobifida_fusca_YX  NC_007333.1
Thermococcus_kodakarensis_KOD1  NC_006624.1
Thermomonospora_curvata_DSM_43183  NC_013510.1
Thermoplasma_acidophilum_DSM_1728  NC_002578.1
Thermoplasma_volcanium_GSS1  NC_002689.2
Thermoproteus_tenax_Kra_1  NC_016070.1
Thermoproteus_uzoniensis_768-20  NC_015315.1
Thermovirga_lienii_DSM_17291  NC_016148.1
Thiomonas_arsenitoxydans  NC_014145.1
Thiomonas_intermedia_K12  NC_014153.1
Treponema_azotonutricium_ZAS-9  NC_015577.1
Treponema_primitia_ZAS-2  NC_015578.1
Tropheryma_whippl  Tropheryma_whipplei_str._Twist  NC_004572.3
Variovorax_paradoxus_B4  NC_022247.1
Variovorax_paradoxus_S110  NC_012791.1
Verminephrobacter_eiseniae_EF01-2  NC_008786.1
Vulcanisaeta_moutnovskia_768-28  NC_015151.1
Xanthobacter_autotrophicus_Py2  NC_009720.1
Xanthomonas_campestris_pv._campestris  NC_010688.1
Xanthomonas_campestris_pv._campestris_str._ATC  NC_003902.1
Xanthomonas_campestris_pv._campestris_str  NC_007086.1
Xanthomonas_campestris_pv._vesicatoria_str  NC_007508.1
Xanthomonas_cassavae_CFBP_4642  NZ_CM002139.1
Xanthomonas_oryzae_pv._oryzae_KACC_10331  NC_006834.1
Xenorhabdus_bovienii_SS-2004  NC_013892.1
Xenorhabdus_nematophila_ATCC_19061  NC_014228.1
Xylanimonas_cellulosilytica_DSM_15894  NC_013530.1
Xylella_fastidiosa_9a5c  NC_002488.3
Xylella_fastidiosa_M23  NC_010577.1
Xylella_fastidiosa_subsp._sandyi_Ann-1  NZ_CP006696.1
Yersinia_pestis_A1122  NC_017168.1
Yersinia_pestis_Antiqua  NC_008150.1
Yersinia_pestis_Nepal516  NC_008149.1
Yersinia_pseudotuberculosis  NZ_CP008943.1
Yersinia_pseudotuberculosis_IP_32953  NC_006155.1
Yersinia_pseudotuberculo  Yersinia_pseudotuberculosis_YPIII  NC_010465.1
Yersinia_similis  NZ_CP007230.1
Zymomonas_mobilis_subsp._mobilis_NCIMB_11163  NC_013355.1
[Clostridium]_acidurici_9a  NC_018664.1
[Clostridium]_cellulolyticum_H10  NC_011898.1
[Clostridium]_clariflavum_DSM_19732  NC_016627.1
[Clostridium]_sticklandii  NC_014614.1
[Eubacterium]_eligens_ATCC_27750  NC_012778.1
beta_proteobacterium_CB  NC_020417.1
